"Part";"Value";"Device";"Package";"Description";"BUILT_BY";"COPYRIGHT";"DATASHEET";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SOURCELIBRARY";"SPICEPREFIX";"VALUE";"VENDOR";
"U3";"5VBUCK";"ADP2303ARDZ-5.0-R7RD_8_1_ADI-M";"RD_8_1_ADI-M";"";"EMA_UL_Team";"";"";"";"";"";"ADP2303ARDZ-5.0-R7";"";"";"";"";"";"";"";"Analog_2015-01-06";"";"";"Analog Devices Inc";
"U5";"MIC5225-1.8V";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"US1";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";
"US2";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";
"US3";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";
"US4";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";
"US5";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";
"US6";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";
"X1";"MINI-USB-32005-301";"MINI-USB-32005-301";"32005-301";"MINI USB-B Conector";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"0";"";"";"";"";
"X2";"S4B-ZR";"S4B-ZR";"S4B-ZR";"ZH CONNECTOR 1.5 mm, 4 pin 1 row";"";"";"";"";"";"";"";"FARNELL";"";"";"S4B-ZR(LF)(SN)";"9491830";"38K8076";"0";"";"";"";"";
"Y2";"8mhz";"RESONATOR8MHZ";"RESONATOR_8";"SMD Ceramic Resonators";"";"";"";"";"";"";"";"Murata";"";"";"CSTCE8M00G55-R0";"";"";"";"";"";"8mhz";"";
